City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
113,East London,ZA,67.14,clear sky,-33.0153,27.9116,Tu Casa
119,Bambanglipuro,ID,74.37,overcast clouds,-7.95,110.2833,Puri Brata
120,Klaksvik,FO,50.92,light rain,62.2266,-6.589,Airbnb rooms
121,Camacha,PT,65.62,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
123,Tuatapere,NZ,56.93,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
125,Sambava,MG,73.94,few clouds,-14.2667,50.1667,Melrose
128,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
129,Canita,PA,79.66,moderate rain,9.2097,-78.8811,Hospedaje Sol del Este Cañita
131,Victoria,HK,76.32,overcast clouds,22.2855,114.1577,Mini Central
132,Bakong,CM,64.42,overcast clouds,5.0935,10.4852,Tagni Mbeu Njanga Jean
135,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
137,Bambous Virieux,MU,75.45,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
138,South Houston,US,66.97,light rain,29.663,-95.2355,Houston Marriott South at Hobby Airport
139,Bereda,ES,54.57,overcast clouds,43.2686,-7.5406,Pazo de Verdes
140,Miri,MY,75.34,light rain,4.4148,114.0089,"Mega Hotel, Miri"
141,Boyolangu,ID,74.52,overcast clouds,-8.1181,111.8935,Yos ega cv
143,Moron,AR,74.8,broken clouds,-34.6534,-58.6198,Hotel Morón
144,Nakamura,JP,50.79,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
145,Esperance,AU,54.18,scattered clouds,-33.8667,121.9,Hospitality Esperance
146,Sorong,ID,79.0,broken clouds,-0.8833,131.25,Waigo Splash Hotel
147,Kapaa,US,77.09,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
148,Faanui,PF,77.97,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
149,Falmouth,GB,56.66,broken clouds,50.1544,-5.0711,The Falmouth Hotel
158,Wenzhou,CN,60.08,overcast clouds,27.9994,120.6668,温州喜来登酒店
160,Busselton,AU,51.84,clear sky,-33.65,115.3333,Observatory Guest House
161,Yeppoon,AU,71.38,clear sky,-23.1333,150.7333,Villa Mar Colina
164,San Patricio,US,78.66,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
165,Mojoagung,ID,76.08,overcast clouds,-7.5667,112.35,Sophie
166,Katsuura,JP,59.4,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
169,Kalemie,CD,71.28,broken clouds,-5.9475,29.1947,Mahobilali
176,Qiongshan,CN,75.18,mist,20.0058,110.3542,Sun City Restaurant
179,Hurghada,EG,75.24,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
180,Moerai,PF,69.08,overcast clouds,-22.4333,-151.3333,Le Manotel
181,Nago,JP,70.23,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
182,Ponta Delgada,PT,68.5,light intensity drizzle,37.7333,-25.6667,Vila Nova Hotel
185,Daru,PG,79.48,overcast clouds,-9.0763,143.2092,Daru Lodge
191,Bowen,AU,76.32,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
193,Miranda De Ebro,ES,57.99,overcast clouds,42.6865,-2.947,Hospedería El Convento
194,Manokwari,ID,79.05,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
196,Fleetwood,GB,55.04,broken clouds,53.9253,-3.0109,The North Euston Hotel
203,Umm Lajj,SA,78.62,clear sky,25.0213,37.2685,Moon light Furnished Units
205,Dingle,PH,76.03,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
209,Ermoupolis,GR,59.9,clear sky,37.4423,24.9425,Ploes
212,Jibuti,DJ,74.46,clear sky,11.5,42.5,Orchid Main Camp Goubet
217,Hasaki,JP,54.21,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
218,Carnarvon,AU,70.32,clear sky,-24.8667,113.6333,Hospitality Carnarvon
219,Saldanha,ZA,66.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
220,San Isidro,PE,67.59,overcast clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
222,Xuddur,SO,76.51,few clouds,4.1213,43.8894,Banjanay Hotel
229,Patzicia,GT,68.74,scattered clouds,14.6317,-90.9269,Hotel California INN
